State,Postal,Active,Closed
Alabama,AL,7,57
Alaska,AK,7,35
Arizona,AZ,5,82
Arkansas,AR,6,56
California,CA,7,236
Colorado,CO,6,80
Connecticut,CT,5,78
Delaware,DE,5,46
District of Columbia,DC,5,36
Florida,FL,7,121
Georgia,GA,6,101
Hawaii,HI,5,49
Idaho,ID,5,43
Illinois,IL,6,145
Indiana,IN,6,98
Iowa,IA,5,57
Kansas,KS,5,51
Kentucky,KY,7,64
Louisiana,LA,6,68
Maine,ME,5,49
Maryland,MD,5,104
Massachusetts,MA,5,92
Michigan,MI,7,84
Minnesota,MN,6,78
Mississippi,MS,5,52
Missouri,MO,5,76
Montana,MT,6,33
Nebraska,NE,5,43
Nevada,NV,5,60
New Hampshire,NH,5,40
New Jersey,NJ,8,123
New Mexico,NM,5,48
New York,NY,9,163
North Carolina,NC,6,86
North Dakota,ND,6,33
Ohio,OH,7,112
Oklahoma,OK,5,62
Oregon,OR,5,84
Pennsylvania,PA,8,142
Puerto Rico,PR,5,40
Rhode Island,RI,6,58
South Carolina,SC,6,58
South Dakota,SD,5,36
Tennessee,TN,6,73
Texas,TX,8,187
Utah,UT,5,73
Vermont,VT,5,39
Virginia,VA,8,103
Washington,WA,5,109
West Virginia,WV,5,44
Wisconsin,WI,7,81
Wyoming,WY,5,37
